date,rain,temp
19810101,2.9,6.1
19810102,5.5,8
19810103,5.1,8.7
19810104,4.7,5.9
19810105,6.3,4.7
19810106,7.5,3.1
19810107,1.8,3.1
19810108,0.2,4.8
19810109,0.1,7.5
19810110,8.8,5.4
19810111,0.6,4.5
19810112,0,5
19810113,5.5,4
19810114,8.1,7
19810115,13.7,4.3
19810116,4.8,3.3
19810117,4.8,5.8
19810118,0.5,3.6
19810119,2.9,5.5
19810120,0.8,4
19810121,0,3.3
19810122,2,5.3
19810123,0.2,7
19810124,0,6.5
19810125,0.3,6.2
19810126,0,5
19810127,5.3,7
19810128,0.7,6.3
19810129,0,6.8
19810130,0,5.9
19810131,0,5.7
19810201,0,4.8
19810202,0.2,7.1
19810203,12.1,7.6
19810204,1,5.6
19810205,1.4,5.3
19810206,1.9,7.8
19810207,0.3,8.4
19810208,0,8.1
19810209,1.9,7.6
19810210,5.6,5.4
19810211,5.9,3.8
19810212,0.2,3.4
19810213,0,2.6
19810214,0,1.7
19810215,0,2.8
19810216,0,4
19810217,0,4.2
19810218,0,3.7
19810219,0.5,3.3
19810220,0,2.1
19810221,0,0.9
19810222,0,1.2
19810223,0,1.3
19810224,0,2.4
19810225,1.3,2.8
19810226,0,2.1
19810227,0,3.2
19810228,0,2.9
19810301,7.7,6.1
19810302,2.8,6.4
19810303,0.3,4.6
19810304,0,4.3
19810305,1.2,4.6
19810306,0,6
19810307,3,9.4
19810308,6.7,11
19810309,3.8,8.2
19810310,18.2,9.5
19810311,26.3,9.1
19810312,27.9,8.3
19810313,0.3,9
19810314,4.4,8
19810315,5.8,6.6
19810316,1.3,6.2
19810317,0.5,5
19810318,0,5.7
19810319,2.8,8.2
19810320,0.4,8.6
19810321,0,10.9
19810322,0.5,9.7
19810323,3.5,7.6
19810324,7.5,9.9
19810325,4,11
19810326,0,9.6
19810327,0.5,10.3
19810328,0,12.8
19810329,1,10.7
19810330,0.2,9.9
19810331,0,9.9
19810401,0,10
19810402,0,8.3
19810403,0,8.2
19810404,0,7.1
19810405,0,7.4
19810406,0,8.5
19810407,0,9
19810408,0,9
19810409,0,11.3
19810410,0,11.8
19810411,0,14.2
19810412,0,11.4
19810413,0,9.3
19810414,0,10
19810415,0,9.3
19810416,0,10
19810417,0,7.9
19810418,0,8.1
19810419,0,8.2
19810420,0.1,8.3
19810421,0,7.7
19810422,1.2,6.2
19810423,0.9,5.4
19810424,0,6.6
19810425,0,8
19810426,1.1,9.2
19810427,0.3,8.2
19810428,0,7.6
19810429,1.5,10
19810430,0.8,9.8
19810501,2.7,7.9
19810502,0.1,7.4
19810503,0,7.5
19810504,4.5,8.5
19810505,2.5,7.9
19810506,0.2,9.5
19810507,0,15.2
19810508,0,13.3
19810509,10.1,14.3
19810510,0,17.1
19810511,0,18.1
19810512,0,17.3
19810513,3,15.5
19810514,0,12.6
19810515,0.1,14.5
19810516,0.8,13
19810517,0.3,12.4
19810518,6.1,14.6
19810519,1.1,16.5
19810520,0,21.7
19810521,0,17.7
19810522,26.9,13.3
