temp,result
7.3,frisse
9.5,frisse
10,frisse
7.5,frisse
6.3,frisse
4.7,koude
5.3,frisse
7.2,frisse
8.1,frisse
6.7,frisse
6,frisse
5.8,frisse
5,frisse
8.4,frisse
6.1,frisse
4.8,koude
7.1,frisse
5.1,frisse
7.2,frisse
5.8,frisse
4,koude
6.4,frisse
7.8,frisse
7.7,frisse
7.9,frisse
7.4,frisse
7.8,frisse
6.8,frisse
7.2,frisse
6.4,frisse
8.2,frisse
5.9,frisse
8.3,frisse
10,frisse
7.2,frisse
6.5,frisse
9.5,frisse
9.4,frisse
9.1,frisse
8.1,frisse
7.2,frisse
5.9,frisse
5.4,frisse
3.6,koude
3.4,koude
6.2,frisse
6.1,frisse
5.8,frisse
4.7,koude
4.1,koude
2.9,koude
2.4,koude
2.8,koude
2.5,koude
3.5,koude
3.7,koude
3.1,koude
5.8,frisse
4.1,koude
9.6,frisse
8.4,frisse
5.6,frisse
6.4,frisse
6.9,frisse
7.5,frisse
10.6,gemiddelde
15.3,gemiddelde
9,frisse
14.2,gemiddelde
10.8,gemiddelde
9.7,frisse
12.1,gemiddelde
9.2,frisse
7.6,frisse
8,frisse
6.8,frisse
8.4,frisse
8.9,frisse
10.4,gemiddelde
13.3,gemiddelde
14.5,gemiddelde
11.8,gemiddelde
11.5,gemiddelde
12.3,gemiddelde
12.1,gemiddelde
15.7,gemiddelde
16.6,gemiddelde
12.7,gemiddelde
11.9,gemiddelde
11.1,gemiddelde
11.7,gemiddelde
9.9,frisse
9.6,frisse
8,frisse
8.6,frisse
10.5,gemiddelde
12.6,gemiddelde
12,gemiddelde
16.4,gemiddelde
15.7,gemiddelde
22,warme
14.8,gemiddelde
11.1,gemiddelde
12.7,gemiddelde
12.5,gemiddelde
14.4,gemiddelde
10,frisse
10.5,gemiddelde
10.4,gemiddelde
10.7,gemiddelde
9,frisse
8.9,frisse
8,frisse
9.7,frisse
9.7,frisse
11.5,gemiddelde
10,frisse
8.9,frisse
11.7,gemiddelde
10.5,gemiddelde
9.6,frisse
9.6,frisse
