0,235
19810101,1804
19810102,488
19810103,2467
19810104,1716
19810105,2799
19810106,2984
19810107,3735
19810108,361
19810109,770
19810110,3491
19810111,3248
19810112,361
19810113,3667
19810114,429
19810115,1677
19810116,2272
19810117,2526
19810118,4252
19810119,2584
19810120,2155
19810121,1843
19810122,936
19810123,1092
19810124,946
19810125,4262
19810126,4944
19810127,1365
19810128,1326
19810129,712
19810130,770
19810131,4993
19810201,918
19810202,5001
19810203,5577
19810204,3731
19810205,2178
19810206,2412
19810207,2051
19810208,2412
19810209,1973
19810210,2393
19810211,7638
19810212,4698
19810213,8532
19810214,5352
19810215,6417
19810216,4464
19810217,2969
19810218,2813
19810219,4444
19810220,4874
19810221,7628
19810222,8048
19810223,5675
19810224,4336
19810225,5821
19810226,2891
  19810227      1,9728
19810228,4356
19810301,7599
19810302,2662
19810303,2808
19810304,6510
19810305,8658
19810306,2352
19810307,1856
19810308,4130
19810309,3110
19810310,1914
19810311,2206
19810312,4878
19810313,9115
19810314,4237
19810315,4072
19810316,436
19810317,7142
19810318,4606
19810319,5315
19810320,3866
19810321,6540
19810322,4956
19810323,3897
19810324,116
19810325,7434
19810326,8911
  19810327      1,7138      1
  19810328      1,1340      1
19810329,6229
19810330,7579
19810331,8172
19810401,5085
19810402,3227
19810403,3931
19810404,3481
19810405,6200
  19810406      1,5920      1
19810407,9427
  19810408      1,7915      1
  19810409      1,7348      1
  19810410      1,9206      1
  19810411      1,6781      1
  19810412      1,962
  19810413      1,9959      1
  19810414      2,1097      2
  19810415      2,1306      2
  19810416      2,1515      2
  19810417      2,1721      1
  19810418      1,1926      1
19810419,9847
  19810420      2,2331      1
19810421,7246
  19810422      1,5949      1
  19810423      2,9040      1
  19810424      1,9030      1
19810425,4841
19810426,9378
  19810427      1,8541      1
19810428,796
19810429,463
19810430,4762
  19810501      1,3995      1
  19810502      2,2191      2
  19810503      1,6479      1
19810504,2740
19810505,2431
  19810506      1,3239
  19810507      2,9748      1
19810508,7337
  19810509      1,6598      1
  19810510      1,4534      2
  19810511      2,5540      2
  19810512      2,4573      2
  19810513      1,2350      1
